Ecosystem	Package	Version	Scope	License	License files	Source
npm	@adobe/css-tools	4.5.0	development	MIT		https://registry.npmjs.org/@adobe/css-tools/-/css-tools-4.5.0.tgz
npm	@alloc/quick-lru	5.2.0	development	MIT		https://registry.npmjs.org/@alloc/quick-lru/-/quick-lru-5.2.0.tgz
npm	@asamuzakjp/css-color	3.2.0	development	MIT		https://registry.npmjs.org/@asamuzakjp/css-color/-/css-color-3.2.0.tgz
npm	@asamuzakjp/css-color/node_modules/lru-cache	10.4.3	development	ISC		https://registry.npmjs.org/lru-cache/-/lru-cache-10.4.3.tgz
npm	@babel/code-frame	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.7.tgz
npm	@babel/compat-data	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.29.7.tgz
npm	@babel/core	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/core/-/core-7.29.7.tgz
npm	@babel/generator	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/generator/-/generator-7.29.7.tgz
npm	@babel/helper-compilation-targets	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.29.7.tgz
npm	@babel/helper-globals	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.29.7.tgz
npm	@babel/helper-module-imports	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.29.7.tgz
npm	@babel/helper-module-transforms	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.29.7.tgz
npm	@babel/helper-plugin-utils	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.29.7.tgz
npm	@babel/helper-string-parser	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.29.7.tgz
npm	@babel/helper-validator-identifier	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.29.7.tgz
npm	@babel/helper-validator-option	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.29.7.tgz
npm	@babel/helpers	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/helpers/-/helpers-7.29.7.tgz
npm	@babel/parser	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/parser/-/parser-7.29.7.tgz
npm	@babel/plugin-syntax-async-generators	7.8.4	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-async-generators/-/plugin-syntax-async-generators-7.8.4.tgz
npm	@babel/plugin-syntax-bigint	7.8.3	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-bigint/-/plugin-syntax-bigint-7.8.3.tgz
npm	@babel/plugin-syntax-class-properties	7.12.13	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-class-properties/-/plugin-syntax-class-properties-7.12.13.tgz
npm	@babel/plugin-syntax-class-static-block	7.14.5	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-class-static-block/-/plugin-syntax-class-static-block-7.14.5.tgz
npm	@babel/plugin-syntax-import-attributes	7.29.7	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-import-attributes/-/plugin-syntax-import-attributes-7.29.7.tgz
npm	@babel/plugin-syntax-import-meta	7.10.4	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-import-meta/-/plugin-syntax-import-meta-7.10.4.tgz
npm	@babel/plugin-syntax-json-strings	7.8.3	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-json-strings/-/plugin-syntax-json-strings-7.8.3.tgz
npm	@babel/plugin-syntax-jsx	7.29.7	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-jsx/-/plugin-syntax-jsx-7.29.7.tgz
npm	@babel/plugin-syntax-logical-assignment-operators	7.10.4	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-logical-assignment-operators/-/plugin-syntax-logical-assignment-operators-7.10.4.tgz
npm	@babel/plugin-syntax-nullish-coalescing-operator	7.8.3	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-nullish-coalescing-operator/-/plugin-syntax-nullish-coalescing-operator-7.8.3.tgz
npm	@babel/plugin-syntax-numeric-separator	7.10.4	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-numeric-separator/-/plugin-syntax-numeric-separator-7.10.4.tgz
npm	@babel/plugin-syntax-object-rest-spread	7.8.3	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-object-rest-spread/-/plugin-syntax-object-rest-spread-7.8.3.tgz
npm	@babel/plugin-syntax-optional-catch-binding	7.8.3	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-optional-catch-binding/-/plugin-syntax-optional-catch-binding-7.8.3.tgz
npm	@babel/plugin-syntax-optional-chaining	7.8.3	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.8.3.tgz
npm	@babel/plugin-syntax-private-property-in-object	7.14.5	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-private-property-in-object/-/plugin-syntax-private-property-in-object-7.14.5.tgz
npm	@babel/plugin-syntax-top-level-await	7.14.5	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-top-level-await/-/plugin-syntax-top-level-await-7.14.5.tgz
npm	@babel/plugin-syntax-typescript	7.29.7	development	MIT		https://registry.npmjs.org/@babel/plugin-syntax-typescript/-/plugin-syntax-typescript-7.29.7.tgz
npm	@babel/plugin-transform-react-jsx-self	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/plugin-transform-react-jsx-self/-/plugin-transform-react-jsx-self-7.29.7.tgz
npm	@babel/plugin-transform-react-jsx-source	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/plugin-transform-react-jsx-source/-/plugin-transform-react-jsx-source-7.29.7.tgz
npm	@babel/runtime	7.29.7	development	MIT		https://registry.npmjs.org/@babel/runtime/-/runtime-7.29.7.tgz
npm	@babel/template	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/template/-/template-7.29.7.tgz
npm	@babel/traverse	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/traverse/-/traverse-7.29.7.tgz
npm	@babel/types	7.29.7	runtime	MIT		https://registry.npmjs.org/@babel/types/-/types-7.29.7.tgz
npm	@bcoe/v8-coverage	0.2.3	development	MIT		https://registry.npmjs.org/@bcoe/v8-coverage/-/v8-coverage-0.2.3.tgz
npm	@csstools/color-helpers	5.1.0	development	MIT-0		https://registry.npmjs.org/@csstools/color-helpers/-/color-helpers-5.1.0.tgz
npm	@csstools/css-calc	2.1.4	development	MIT		https://registry.npmjs.org/@csstools/css-calc/-/css-calc-2.1.4.tgz
npm	@csstools/css-color-parser	3.1.0	development	MIT		https://registry.npmjs.org/@csstools/css-color-parser/-/css-color-parser-3.1.0.tgz
npm	@csstools/css-parser-algorithms	3.0.5	development	MIT		https://registry.npmjs.org/@csstools/css-parser-algorithms/-/css-parser-algorithms-3.0.5.tgz
npm	@csstools/css-tokenizer	3.0.4	development	MIT		https://registry.npmjs.org/@csstools/css-tokenizer/-/css-tokenizer-3.0.4.tgz
npm	@emnapi/core	1.10.0	development, optional	MIT		https://registry.npmjs.org/@emnapi/core/-/core-1.10.0.tgz
npm	@emnapi/runtime	1.10.0	development, optional	MIT		https://registry.npmjs.org/@emnapi/runtime/-/runtime-1.10.0.tgz
npm	@emnapi/wasi-threads	1.2.1	development, optional	MIT		https://registry.npmjs.org/@emnapi/wasi-threads/-/wasi-threads-1.2.1.tgz
npm	@esbuild/aix-ppc64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.25.12.tgz
npm	@esbuild/android-arm	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.25.12.tgz
npm	@esbuild/android-arm64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.25.12.tgz
npm	@esbuild/android-x64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.25.12.tgz
npm	@esbuild/darwin-arm64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.25.12.tgz
npm	@esbuild/darwin-x64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.25.12.tgz
npm	@esbuild/freebsd-arm64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.25.12.tgz
npm	@esbuild/freebsd-x64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.25.12.tgz
npm	@esbuild/linux-arm	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.25.12.tgz
npm	@esbuild/linux-arm64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-arm64/-/linux-arm64-0.25.12.tgz
npm	@esbuild/linux-ia32	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-ia32/-/linux-ia32-0.25.12.tgz
npm	@esbuild/linux-loong64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-loong64/-/linux-loong64-0.25.12.tgz
npm	@esbuild/linux-mips64el	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-mips64el/-/linux-mips64el-0.25.12.tgz
npm	@esbuild/linux-ppc64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-ppc64/-/linux-ppc64-0.25.12.tgz
npm	@esbuild/linux-riscv64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-riscv64/-/linux-riscv64-0.25.12.tgz
npm	@esbuild/linux-s390x	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-s390x/-/linux-s390x-0.25.12.tgz
npm	@esbuild/linux-x64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/linux-x64/-/linux-x64-0.25.12.tgz
npm	@esbuild/netbsd-arm64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/netbsd-arm64/-/netbsd-arm64-0.25.12.tgz
npm	@esbuild/netbsd-x64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/netbsd-x64/-/netbsd-x64-0.25.12.tgz
npm	@esbuild/openbsd-arm64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/openbsd-arm64/-/openbsd-arm64-0.25.12.tgz
npm	@esbuild/openbsd-x64	0.25.12	runtime, optional	MIT		https://registry.npmjs.org/@esbuild/openbsd-x64/-/openbsd-x64-0.25.12.tgz
